Time,Freq_T,Freq_M,Temp_C,Uncomp_thick_nm,Comp_thick_nm
1768498589,5983549.3154296875,6570447.875,121118.47903849136,-0.7931794184535412,-87962959.40961328
1768498589,5983549.3076171875,6570447.9306640625,121118.47936102426,3.727943266731645,-87962955.59172711
1768498589,5983549.2978515625,6570447.9912109375,121118.47972624384,8.645655661143602,-87962951.4703234
1768498589,5983549.2978515625,6570447.990234375,121118.47972214158,8.566337719298247,-87962951.54069695
1768498589,5983549.3251953125,6570447.9931640625,121118.4794240007,8.804291544834308,-87962950.65268989
1768498589,5983549.3408203125,6570448.0009765625,121118.47927942075,9.438835079597142,-87962949.70291057
1768498589,5983549.3388671875,6570448.037109375,121118.47945338258,12.373598927875245,-87962947.14744544
1768498589,5983549.3447265625,6570448.103515625,121118.47966581753,17.767218973359327,-87962942.21700923
1768498589,5983549.3408203125,6570448.103515625,121118.47971016701,17.767218973359327,-87962942.31370689
1768498590,5983549.345703125,6570448.1064453125,121118.47966703703,18.005172798895387,-87962941.98171435
1768498590,5983549.328125,6570448.1083984375,121118.47987481524,18.163808682586097,-87962942.27610892
1768498590,5983549.3271484375,6570448.1513671875,121118.48006640596,21.653798123781677,-87962939.20385544
1768498590,5983549.3330078125,6570448.224609375,121118.48030755726,27.602643762183238,-87962933.78080548
1768498590,5983549.3466796875,6570448.3076171875,121118.4805010327,34.34466881903834,-87962927.46062575
1768498590,5983549.33984375,6570448.36328125,121118.48081247823,38.86579150422352,-87962923.61856522
1768498590,5983549.3359375,6570448.4658203125,121118.48128757419,47.19417539798571,-87962916.32605964
1768498590,5983549.3291015625,6570448.57421875,121118.48182054644,55.99846694282003,-87962908.68383738
1768498590,5983549.3232421875,6570448.689453125,121118.48237114755,65.35798408057181,-87962900.52482672
1768498591,5983549.29296875,6570448.7890625,121118.48313329666,73.44841414879792,-87962894.09615308
1768498591,5983549.2734375,6570448.9208984375,121118.48390886167,84.15633629792075,-87962885.07923885
1768498591,5983549.244140625,6570449.0634765625,121118.4848404265,95.73675580734245,-87962875.52996247
1768498591,5983549.2314453125,6570449.2705078125,121118.48585425995,112.55215947855751,-87962860.92507681
1768498591,5983549.23046875,6570449.48828125,121118.48678017038,130.2400605100715,-87962845.25599031
1768498591,5983549.23046875,6570449.7431640625,121118.48785088224,150.94204333170893,-87962826.8885408
1768498591,5983549.2294921875,6570449.9765625,121118.48884242991,169.89903143274856,-87962810.0934799
1768498591,5983549.2216796875,6570450.203125,121118.48988287312,188.30079394087073,-87962793.96025431
1768498591,5983549.2255859375,6570450.4423828125,121118.49084359773,207.7336896929825,-87962776.62208056
1768498592,5983549.224609375,6570450.66796875,121118.49180232704,226.0561342592593,-87962760.3900076
1768498592,5983549.2255859375,6570450.86328125,121118.49261170834,241.9197226283301,-87962746.29115893
1768498592,5983549.2275390625,6570451.056640625,121118.49340179744,257.6246751137102,-87962732.30888233
1768498592,5983549.2275390625,6570451.2529296875,121118.49422636862,273.5675814246264,-87962718.16383511
1768498592,5983549.2275390625,6570451.4453125,121118.49503453058,289.19321596816116,-87962704.30028178
1768498592,5983549.2275390625,6570451.6474609375,121118.49588371586,305.61202993014945,-87962689.73299448
1768498592,5983549.224609375,6570451.87890625,121118.49688923333,324.4103821474984,-87962673.12702888
1768498592,5983549.212890625,6570452.0966796875,121118.49793710538,342.09828317901236,-87962657.7238626
1768498592,5983549.1875,6570452.32421875,121118.49918122406,360.5793636289799,-87962641.9554046
1768498593,5983549.134765625,6570452.537109375,121118.50067425547,377.87067495126706,-87962627.91943432
1768498593,5983549.1103515625,6570452.7294921875,121118.50175960253,393.49630949480184,-87962614.66024354
1768498593,5983549.1103515625,6570452.8818359375,121118.50239956801,405.86990842267704,-87962603.6819977
1768498593,5983549.1123046875,6570453.0166015625,121118.50294351672,416.81578439733596,-87962593.922124
1768498593,5983549.109375,6570453.197265625,121118.50373571238,431.4896036387265,-87962580.97557396
1768498593,5983549.107421875,6570453.3662109375,121118.50446759255,445.21160757797276,-87962568.84932998
1768498593,5983549.109375,6570453.5771484375,121118.50533152411,462.3442830165693,-87962553.60033366
1768498593,5983549.109375,6570453.7392578125,121118.5060125131,475.5110613628981,-87962541.91835436
1768498593,5983549.11328125,6570453.9345703125,121118.50678863189,491.3746497319688,-87962527.74698196
1768498594,5983549.11328125,6570454.1123046875,121118.50753525834,505.8105151478233,-87962514.93902875
1768498594,5983549.1103515625,6570454.2822265625,121118.5082823283,519.6118370289149,-87962502.76658608
1768498594,5983549.1123046875,6570454.451171875,121118.5089698589,533.3338409681612,-87962490.5436443
1768498594,5983549.1083984375,6570454.62109375,121118.50972801613,547.1351628492528,-87962478.39537588
1768498594,5983549.107421875,6570454.98828125,121118.51128158458,576.9587089831059,-87962451.95916373
1768498594,5983549.1103515625,6570455.095703125,121118.51169958009,585.683682586095,-87962444.14556961
1768498594,5983549.109375,6570455.212890625,121118.5122029486,595.2018356075374,-87962435.7249397
1768498595,5983549.1083984375,6570455.3173828125,121118.51265298677,603.6888553849903,-87962428.21916385
1768498595,5983549.10546875,6570455.3974609375,121118.51302264084,610.1929266163094,-87962422.52107048
1768498595,5983549.1083984375,6570455.470703125,121118.51329705444,616.1417722547109,-87962417.17054455
1768498595,5983549.1103515625,6570455.5576171875,121118.51363998804,623.2010690789474,-87962410.85896547
1768498595,5983549.1064453125,6570455.6318359375,121118.51399611581,629.2292326591944,-87962405.60728766
1768498595,5983549.107421875,6570455.7021484375,121118.51428039724,634.9401244720599,-87962400.51623093
1768498595,5983549.111328125,6570455.794921875,121118.51462577004,642.4753289473686,-87962393.73406251
1768498595,5983549.1064453125,6570455.865234375,121118.51497657588,648.1862207602339,-87962388.78805275
1768498595,5983549.107421875,6570455.939453125,121118.51527726658,654.2143843404809,-87962383.4155023
1768498596,5983549.1015625,6570456.0380859375,121118.51575812754,662.2254964668617,-87962376.45283887
1768498596,5983549.0986328125,6570456.1396484375,121118.51621803311,670.4745624187785,-87962369.20653139
1768498596,5983549.0859375,6570456.2080078125,121118.51664933379,676.0268183479533,-87962364.594665
1768498596,5983549.083984375,6570456.2568359375,121118.51687662567,679.992715440221,-87962361.12434545
1768498596,5983549.0703125,6570456.330078125,121118.51733952528,685.9415610786225,-87962356.18478635
1768498596,5983549.0517578125,6570456.3740234375,121118.5177347913,689.5108684616634,-87962353.47730015
1768498596,5983549.03125,6570456.4814453125,121118.51841888459,698.2358420646525,-87962346.2438944
1768498596,5983548.9921875,6570456.5185546875,121118.5190182701,701.249923854776,-87962344.53668723
1768498596,5983548.9951171875,6570456.6044921875,121118.51934601429,708.2299027371671,-87962338.27130781
1768498597,5983549.0068359375,6570456.681640625,121118.51953705023,714.49602014295,-87962332.42171702
1768498597,5983549.0068359375,6570456.736328125,121118.5197667811,718.9378248862898,-87962328.48080768
1768498597,5983549.0185546875,6570456.8349609375,121118.52004806882,726.9489370126706,-87962321.08300331
1768498597,5983549.005859375,6570456.859375,121118.52029476388,728.9318855588044,-87962319.63793816
1768498597,5983549.00390625,6570456.953125,121118.52071076352,736.5464079759585,-87962312.93044367
1768498597,5983548.9931640625,6570456.9990234375,121118.52102553495,740.2743512426902,-87962309.88881464
1768498597,5983548.9990234375,6570457.0751953125,121118.5212789934,746.4611507066278,-87962304.25464521
1768498597,5983548.9951171875,6570457.1259765625,121118.52153666479,750.5856836825861,-87962300.69192798
1768498597,5983548.998046875,6570457.185546875,121118.52175364537,755.4240781351527,-87962296.32662876
1768498598,5983548.994140625,6570457.1845703125,121118.52179389264,755.3447601933074,-87962296.49370013
1768498598,5983549.0009765625,6570457.1875,121118.52172858786,755.5827140188436,-87962296.11335853
1768498598,5983549.0078125,6570457.1796875,121118.5216181573,754.9481704840806,-87962296.50712398
1768498598,5983549.0,6570457.1455078125,121118.52156327452,752.1720425194934,-87962299.16358785
1768498598,5983548.994140625,6570457.05078125,121118.52123187183,744.4782021604938,-87962306.13485187
1768498598,5983548.9921875,6570456.94140625,121118.52079458436,735.5945926738143,-87962314.06501839
1768498598,5983548.9931640625,6570456.83203125,121118.52032403485,726.7109831871346,-87962321.92266172
1768498598,5983548.994140625,6570456.7607421875,121118.52001347607,720.9207734324236,-87962327.03574233
1768498598,5983548.9931640625,6570456.6875,121118.51971688784,714.9719277940222,-87962332.33791962
1768498599,5983548.9921875,6570456.599609375,121118.51935876446,707.8333130279403,-87962338.69569744
1768498599,5983548.998046875,6570456.541015625,121118.51904609948,703.074236517219,-87962342.77305256
1768498599,5983548.9921875,6570456.4833984375,121118.51887058569,698.3944779483431,-87962347.07012832
1768498599,5983548.998046875,6570456.4853515625,121118.51881226615,698.5531138320339,-87962346.78433499
1768498599,5983548.9990234375,6570456.4833984375,121118.51879297389,698.3944779483431,-87962346.90090686
1768498599,5983548.998046875,6570456.48046875,121118.51879175435,698.1565241228071,-87962347.13620168
1768498599,5983548.9951171875,6570456.4814453125,121118.51882911882,698.2358420646525,-87962347.1383516
1768498599,5983548.9931640625,6570456.486328125,121118.51887180551,698.6324317738793,-87962346.83483416
1768498599,5983548.9970703125,6570456.4951171875,121118.51886437694,699.3462932504874,-87962346.10477573
1768498600,5983549.0,6570456.55859375,121118.51909776698,704.5019594704354,-87962341.45798324
1768498600,5983548.998046875,6570456.607421875,121118.51932505865,708.4678565627031,-87962337.98766318
1768498600,5983548.998046875,6570456.6337890625,121118.51943582196,710.6094409925277,-87962336.08758235
1768498600,5983548.9921875,6570456.6669921875,121118.51964182618,713.3062510152698,-87962333.83993517
1768498600,5983548.994140625,6570456.7177734375,121118.51983297316,717.4307839912282,-87962330.13217093
1768498600,5983548.9931640625,6570456.728515625,121118.51988918637,718.3032813515271,-87962329.38223846
1768498600,5983548.9970703125,6570456.802734375,121118.52015661483,724.331444931774,-87962323.93716449
1768498600,5983548.9912109375,6570456.8388671875,121118.52037492582,727.2662087800521,-87962321.47839664
1768498600,5983548.99609375,6570456.8955078125,121118.52055742453,731.8666494070826,-87962317.27586843
1768498601,5983548.994140625,6570456.94921875,121118.52080522824,736.2291362085771,-87962313.45368232
1768498601,5983548.994140625,6570456.896484375,121118.52058370176,731.945967348928,-87962317.25384425
1768498601,5983548.99609375,6570456.7607421875,121118.5199913014,720.9207734324236,-87962326.98739363
1768498601,5983548.994140625,6570456.5712890625,121118.51921762165,705.533092714425,-87962340.68817598
1768498601,5983548.9921875,6570456.3427734375,121118.51827984853,686.9726943226121,-87962357.20389384
1768498601,5983548.9931640625,6570456.099609375,121118.51724727778,667.222526803119,-87962374.70268811
1768498601,5983548.9921875,6570455.814453125,121118.51606048144,644.0616877842756,-87962395.27588709
1768498601,5983548.998046875,6570455.5126953125,121118.51472633271,619.5524437540612,-87962416.87621024
1768498601,5983548.9951171875,6570455.1796875,121118.51336069607,592.5050255847954,-87962440.94605272
1768498602,5983548.9970703125,6570454.904296875,121118.51218166076,570.1373659844055,-87962460.74299422
1768498602,5983549.0048828125,6570454.6826171875,121118.51116172962,552.1321931855101,-87962476.52435291
1768498602,5983549.0009765625,6570454.4775390625,121118.5103445873,535.4754253979858,-87962491.39945863
1768498602,5983549.013671875,6570454.30859375,121118.50949074558,521.7534214587395,-87962503.25978273
1768498602,5983549.041015625,6570454.130859375,121118.50843367164,507.3175560428851,-87962515.39084956
1768498602,5983549.08203125,6570453.9208984375,121118.50708599627,490.2641985461339,-87962529.50579366
1768498602,5983549.119140625,6570453.6796875,121118.50565139584,470.67266691033143,-87962545.9693843
1768498602,5983549.1123046875,6570453.4248046875,121118.504658296,449.970684088694,-87962564.50605506
1768498602,5983549.1103515625,6570453.1376953125,121118.50347438207,426.6512091861599,-87962585.24417509
1768498603,5983549.1123046875,6570452.828125,121118.50215176445,401.5074216211827,-87962607.50418434
1768498603,5983549.1220703125,6570452.5263671875,121118.50077326596,376.9981775909682,-87962629.00780988
1768498603,5983549.1279296875,6570452.21484375,121118.49939809386,351.69575414230025,-87962651.31186761
1768498603,5983549.1171875,6570451.8916015625,121118.49816217962,325.441515391488,-87962674.87137249
1768498603,5983549.1181640625,6570451.5947265625,121118.49690397971,301.32886107050035,-87962696.24070235
1768498603,5983549.134765625,6570451.0625,121118.49447971632,258.10058276478236,-87962734.18322207
1768498603,5983549.12109375,6570450.798828125,121118.49352730712,236.68473846653677,-87962753.52247478
1768498603,5983549.1220703125,6570450.5244140625,121118.4923634612,214.39639680799223,-87962773.27321751
1768498604,5983549.12109375,6570450.236328125,121118.49116435683,190.99760396361276,-87962794.05753544
1768498604,5983549.115234375,6570449.931640625,121118.48995095013,166.25040610786226,-87962816.15907425
1768498604,5983549.130859375,6570449.6357421875,121118.48853054084,142.21706972871996,-87962837.0954123
1768498604,5983549.123046875,6570449.3232421875,121118.48730648989,116.83532833820662,-87962859.80828652
1768498604,5983549.1328125,6570448.9853515625,121118.48577620467,89.39132045971411,-87962883.91572751
1768498604,5983549.1376953125,6570448.625,121118.48420700246,60.122999918778426,-87962909.76262832
1768498604,5983549.1572265625,6570448.2578125,121118.48244277222,30.299453784925277,-87962935.73952429
1768498604,5983549.1982421875,6570447.8876953125,121118.48042231184,0.23795382553606237,-87962961.39570127
1768498604,5983549.2294921875,6570447.494140625,121118.47841426959,-31.72717673814165,-87962988.98258492
1768498605,5983549.2392578125,6570447.115234375,121118.47671168516,-62.50253817413907,-87963016.04570638
1768498605,5983549.24609375,6570446.73046875,121118.47501774928,-93.75380726120856,-87963043.60359249
1768498605,5983549.24609375,6570446.3662109375,121118.47348757456,-123.33939956952567,-87963069.85285951
1768498605,5983549.2626953125,6570445.9892578125,121118.47171558304,-153.9561251218324,-87963096.60601321
1768498605,5983549.2626953125,6570445.5947265625,121118.4700582354,-186.00057362735544,-87963125.03685439
1768498605,5983549.2890625,6570445.2490234375,121118.46830664478,-214.07912504061085,-87963149.29631542
1768498605,5983549.3466796875,6570444.9873046875,121118.46655305829,-235.33633345516571,-87963166.73008181
1768498605,5983549.3662109375,6570444.8251953125,121118.46565032023,-248.5031118014945,-87963177.92857029
1768498605,5983549.416015625,6570444.71875,121118.46463770597,-257.14876746263815,-87963184.36636695
1768498605,5983549.443359375,6570444.615234375,121118.4638924099,-265.55646929824564,-87963191.14905846
1768498606,5983549.4599609375,6570444.6044921875,121118.46365879738,-266.42896665854454,-87963191.51219748
1768498606,5983549.462890625,6570444.607421875,121118.46363784242,-266.1910128330085,-87963191.2285544
1768498606,5983549.458984375,6570444.6083984375,121118.46368629439,-266.11169489116315,-87963191.25487898
1768498606,5983549.4638671875,6570444.6015625,121118.46360214095,-266.6669204840806,-87963191.62662016
1768498606,5983549.4619140625,6570444.51953125,121118.46327971862,-273.3296275990903,-87963197.586332
1768498606,5983549.4638671875,6570444.4912109375,121118.46313857575,-275.6298479126056,-87963199.57881072
1768498606,5983549.4599609375,6570444.4912109375,121118.46318292529,-275.6298479126056,-87963199.67550847
1768498606,5983549.458984375,6570444.4912109375,121118.46319401274,-275.6298479126056,-87963199.69968306
1768498607,5983549.4599609375,6570444.4912109375,121118.46318292529,-275.6298479126056,-87963199.67550847
1768498607,5983549.4638671875,6570444.490234375,121118.46313447329,-275.709165854451,-87963199.64918387
1768498607,5983549.462890625,6570444.4892578125,121118.46314145833,-275.7884837962963,-87963199.74373166
1768498607,5983549.4599609375,6570444.4873046875,121118.46316651603,-275.94711967998705,-87963199.9570022
1768498607,5983549.4638671875,6570444.4921875,121118.46314267826,-275.5505299707603,-87963199.50843772
1768498607,5983549.4775390625,6570444.49609375,121118.46300386351,-275.23325820337885,-87963198.88850048
1768498607,5983549.4716796875,6570444.4921875,121118.46305397872,-275.5505299707603,-87963199.31504118
1768498607,5983549.4619140625,6570444.4921875,121118.46316485298,-275.5505299707603,-87963199.55678645
1768498607,5983549.4599609375,6570444.494140625,121118.46319523249,-275.39189408706955,-87963199.4643887
1768498607,5983549.4521484375,6570444.48828125,121118.46325931774,-275.8678017381417,-87963200.08002497
1768498608,5983549.44140625,6570444.3974609375,121118.46299976137,-283.2443703297596,-87963206.89066844
1768498608,5983549.4326171875,6570444.3544921875,121118.46291904483,-286.7343597709552,-87963210.20466717
1768498608,5983549.4228515625,6570444.2548828125,121118.46261147967,-294.82478983918134,-87963217.62449586
1768498608,5983549.4052734375,6570444.15234375,121118.46238030684,-303.1531737329435,-87963225.44884084
1768498608,5983549.4150390625,6570444.1005859375,121118.46205200846,-307.35702465074723,-87963228.93688464
1768498608,5983549.4189453125,6570444.0244140625,121118.46168767574,-313.54382411468487,-87963234.3293093
1768498608,5983549.4287109375,6570443.9912109375,121118.46143732156,-316.2406341374269,-87963236.48025829
1768498608,5983549.4384765625,6570443.9091796875,121118.46098185073,-322.90334125243663,-87963242.14987716
1768498608,5983549.44140625,6570443.873046875,121118.46079680158,-325.83810510071476,-87963244.68116808
1768498609,5983549.4384765625,6570443.7890625,121118.4604772617,-332.6594480994153,-87963250.80580062
1768498609,5983549.380859375,6570443.67578125,121118.46065554752,-341.8603293534763,-87963260.39540832
1768498609,5983549.359375,6570443.6611328125,121118.46083793548,-343.0500984811566,-87963261.98284797
1768498609,5983549.3447265625,6570443.5498046875,121118.46053657928,-352.092343851527,-87963270.36802977
1768498609,5983549.34765625,6570443.2724609375,121118.45933825095,-374.6186393356076,-87963290.28154378
1768498609,5983549.3486328125,6570443.2021484375,121118.45903179445,-380.32953114847305,-87963295.32425159
1768498609,5983549.3427734375,6570443.107421875,121118.45870039154,-388.02337150747235,-87963302.29551588
1768498610,5983549.3447265625,6570443.09375,121118.45862078367,-389.13382269330737,-87963303.23239361
1768498610,5983549.3505859375,6570443.044921875,121118.45834914179,-393.0997197855751,-87963306.60601489
1768498610,5983549.3447265625,6570442.9775390625,121118.45813260436,-398.5726577729045,-87963311.60682438
1768498610,5983549.3466796875,6570442.978515625,121118.45811453203,-398.49333983105925,-87963311.48810235
1768498610,5983549.3486328125,6570442.9677734375,121118.45804723114,-399.3658371913581,-87963312.21385986
1768498610,5983549.3466796875,6570442.95703125,121118.4580242805,-400.238334551657,-87963313.03631666
1768498610,5983549.34765625,6570442.9462890625,121118.45796806714,-401.1108319119559,-87963313.78624897
1768498610,5983549.3505859375,6570442.9384765625,121118.45790198629,-401.7453754467187,-87963314.27671275
1768498610,5983549.3583984375,6570442.9619140625,121118.45791174311,-399.8417448424302,-87963312.3943555
1768498611,5983549.373046875,6570442.982421875,121118.457831581,-398.17606806367775,-87963310.55389684
1768498611,5983549.396484375,6570442.98046875,121118.45755727818,-398.33470394736844,-87963310.11445515
1768498611,5983549.423828125,6570442.974609375,121118.45722221604,-398.8106115984406,-87963309.85980831
1768498611,5983549.4580078125,6570442.978515625,121118.45685056553,-398.49333983105925,-87963308.73220646
1768498611,5983549.4609375,6570442.98046875,121118.4568255081,-398.33470394736844,-87963308.51893647
1768498611,5983549.443359375,6570442.982421875,121118.45703328638,-398.17606806367775,-87963308.81333104
1768498611,5983549.4208984375,6570442.9833984375,121118.45729239951,-398.0967501218324,-87963309.29897176
1768498611,5983549.3828125,6570442.98046875,121118.45771250199,-398.33470394736844,-87963310.45289817
1768498611,5983549.3486328125,6570442.9814453125,121118.45810466408,-398.2553860055231,-87963311.22863291
1768498612,5983549.349609375,6570442.982421875,121118.4580976792,-398.17606806367775,-87963311.13408543
1768498612,5983549.35546875,6570442.982421875,121118.4580311547,-398.17606806367775,-87963310.9890384
1768498612,5983549.3916015625,6570442.9853515625,121118.45763322683,-397.9381142381417,-87963309.88346048
1768498612,5983549.4306640625,6570442.9853515625,121118.45718972987,-397.9381142381417,-87963308.91647959
1768498612,5983549.453125,6570442.986328125,121118.45693882168,-397.85879629629636,-87963308.29009268
1768498612,5983549.4541015625,6570442.9765625,121118.45688671074,-398.6519757147498,-87963308.96965174
1768498612,5983549.439453125,6570442.9248046875,121118.45683559767,-402.85582663255366,-87963313.062058
1768498612,5983549.4130859375,6570442.859375,121118.45686010065,-408.1701287361924,-87963318.4297853
1768498612,5983549.412109375,6570442.8369140625,121118.45677683441,-409.99444139863556,-87963320.072548
1768498613,5983549.4169921875,6570442.8076171875,121118.45659832685,-412.3739796539962,-87963322.06287637
1768498613,5983549.416015625,6570442.857421875,121118.45681863386,-408.3287646198831,-87963318.49800888
1768498613,5983549.4189453125,6570442.869140625,121118.45683459962,-407.3769493177388,-87963317.5810046
1768498613,5983549.423828125,6570442.9169921875,121118.45698017765,-403.4903701673164,-87963314.01183724
1768498613,5983549.435546875,6570442.9873046875,121118.45714249763,-397.779478354451,-87963308.65486063
1768498613,5983549.4404296875,6570443.0615234375,121118.45739883877,-391.75131477420405,-87963303.18561178
1768498613,5983549.416015625,6570443.1044921875,121118.45785652749,-388.26132533300853,-87963300.69354632
1768498613,5983549.4189453125,6570443.2109375,121118.45827042106,-379.6156696718649,-87963292.95032565
1768498613,5983549.41015625,6570443.2470703125,121118.4585219946,-376.6809058235867,-87963290.56408149
1768498614,5983549.41015625,6570443.3359375,121118.45889530824,-369.4629731156595,-87963284.16010511
1768498614,5983549.419921875,6570443.3974609375,121118.45904288189,-364.4659427794022,-87963279.48483774
